"raster_name","contig_park","lsi_park","circle_park","district","shannon_index","total_edge","contig","lsi","circle","X4_lpi_0m","X6_lpi_0m","X4_ed_0m","X6_ed_0m","X4_contig_mn_0m","X6_contig_mn_0m","X4_pland_0m","X6_pland_0m","X4_nlsi_0m","X6_nlsi_0m","X4_te_0m","X6_te_0m","X4_np_0m","X6_np_0m","X1_lpi_0m","X1_ed_0m","X1_contig_mn_0m","X1_pland_0m","X1_nlsi_0m","X1_te_0m","X1_np_0m","X2_lpi_0m","X5_lpi_0m","X2_ed_0m","X5_ed_0m","X2_contig_mn_0m","X5_contig_mn_0m","X2_pland_0m","X5_pland_0m","X2_nlsi_0m","X5_nlsi_0m","X2_te_0m","X5_te_0m","X2_np_0m","X5_np_0m","pq_area","pq_PrefReg","Categoria","Mobilidade","Acessibili","Equip_cria","Equip_espo","Sinalizaca","Nota_Infra","Manejo_Con","Residuos_s","Ambientes_","Nota_manej","Nota_segur","Nota_gesta","ID","area","altmean","vol_asum","vol_bsum","alt_bmean","area_agua","ds_codigo","Media_GeoSES","Media_educacao","Media_mobilidade","Media_pobreza","Media_privacao_material","Media_riqueza","Media_renda","Media_segregacao","contig_mn_tree"
"CANTINHO DO CEU","0.981109411772922","3.59496567505721","0.797793226357532","GRAJAU","10.2212974905338","1150.119458455","0.419254584483574","13.3045977011494","0.560763079109694","4.46641890098221","2.69777010883993","962.967878948765","848.48685956995","0.616129960940369","0.302744461149194","36.2556410937085","21.0412795327847","0.105535532760373","0.174572751956556",2902,2557,71,142,"0","0",NA,"0",NA,0,0,"13.9102734271303","0","488.784178391293","0","0.932511741493467",NA,"42.7030793735068","0","0.0508016149896123",NA,1473,0,5,0,"47766","CAPELA DO SOCORRO","Linear","0.18","0.09","0.06","0.11","0","0.61","0.32","0.19","0","0.51","0.53","0.35",115,"83064.364","7.16998257188782","92749.1020542979","16519.2065409259","5.96344329275877","0",30,"-0.614252098375229","2.70407708534811","13.1047847469642","17.8520599070898","53.2234066180632","0.193171757695639","2018.6599727649","-0.150317547305354","0.616129960940369"
"CENTRAL DO ITAIM PAULISTA","0.989824821335193","1.18151815181518","0.605972857915022","ITAIM PAULISTA","9.97554847733601","947.373276140399","0.268314555161265","5.45762711864407","0.516570815509099","90.15266823486","1.72501268391679","947.373276140399","947.373276140399","0.34380033946777","0.261917454796307","90.6415755730824","9.35842442691758","0.234484059611394","0.257625409629443",2054,2054,10,118,"0","0",NA,"0",NA,0,0,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"23058","ITAIM PAULISTA","Urbano","0.09","0.07","0.14","0.03","0.03","0.96","0.2","0.2","0.03","0.44","0.66","0.51",81,"18109.825","10.2399920074439","209627.996380389","4948.57252518833","5.11338356547077","23131",36,"-0.557912314429747","3.17775237001221","18.2914129642375","19.1331269886137","63.3876189520326","0.220421100091185","1918.16608519972","-0.167160828435478","0.34380033946777"
"CHACARA DO JOCKEY","0.99595354857696","1.4238845144357","0.312679177664705","VILA SONIA","11.5045219947963","639.616487100919","0.292012797683158","13.5282574568289","0.543356510211528","49.303153108629","20.8994761292873","639.616487100919","639.616487100919","0.596607736126664","0.24228301181483","64.0140357813581","35.9859642186419","0.0714395021424199","0.0740004417936824",6471,6471,72,441,"0","0",NA,"0",NA,0,0,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"144975","BUTANTA","Urbano","0.09","0.02","0.04","0.05","0.02","0.92","0.21","0.2","0.35","0.77","0.73","0.56",29,"115910.688","9.77417851493201","663302.633014202","95704.8341286103","5.32674036390585","3409496",94,"0.064115530747202","25.891610409325","29.1033375582386","7.46343968196496","79.8873256462488","24.4954997739538","7210.92010917722","0.244623712637406","0.596607736126664"
"CHICO MENDES","0.992595231156159","1.60240963855422","0.543381725831167","VILA CURUCA","10.9765564842715","398.622969817816","0.267639710536758","5.1639175257732","0.522156468065944","96.8181740716124","0.270974998721816","398.622969817816","398.622969817816","0.44563359345968","0.263594395015782","96.8369207696372","3.16307923036283","0.337142857142857","0.337103448275862",2339,2339,4,176,"0","0",NA,"0",NA,0,0,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"61773","ITAIM PAULISTA","Urbano","0.05","0.02","0.29","0.06","0.02","0.88","0.2","0.07","0","0.28","0.7","0.32",117,"22994.48","17.5720569099397","1021028.75976627","9688.01593569061","6.60821554459041","0",84,"-0.479970902261723","3.91067327033041","21.4845927521963","15.9407684789799","66.1478097723867","0.216327293618272","2162.05949066366","-0.122892259470799","0.44563359345968"
"CIDADE DE TORONTO","0.994690120343605","1.75346260387812","0.743823762432261","SAO DOMINGOS","11.240998903085","557.820398640258","0.296326545481272","10.287610619469","0.532885211005069","32.6037054226615","5.06516476210785","525.582970610002","487.575419274721","0.581882848746791","0.217002160162981","66.7929403795738","14.2509501887834","0.0616903255533698","0.133819086547006",4190,3887,51,208,"0","0",NA,"0",NA,0,0,"15.4526410857867","0","102.482407395793","0","0.941693438702328",NA,"18.9561094316429","0","0.0207151911401695",NA,817,0,3,0,"130077","PIRITUBA/JARAGUA","Urbano","0.06","0.04","0.25","0.05","0.05","1.12","0.29","0.26","0.08","0.64","0.78","0.53",25,"47723.533","10.9958469947362","664168.401214305","1071.65952092409","4.01746774479509","41725867",95,"-0.163077314371174","11.963286999398","36.4377777554712","8.27524052113747","69.2698789739381","7.22937181987193","3990.51261781837","0.094039764179639","0.581882848746791"
"CLUBE DO CHUVISCO","0.986813837309264","1.82282282282282","0.398454160292129","CAMPO BELO","9.58931384402975","952.476842529199","0.338222742285477","12.4265306122449","0.53904852440615","39.9919452275473","9.99463015169822","952.476842529199","952.476842529199","0.603585569001936","0.257383735471191","66.3981742515774","33.6018257484226","0.133460273498356","0.189564336372847",1419,1419,46,151,"0","0",NA,"0",NA,0,0,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"18775","SANTO AMARO","Urbano","0.11","0.07","0","0.08","0.03","0.75","0.31","0.28","0.25","0.85","0.76","0.5",170,"9599659.775","11.1623493413504","122520.736957997","22844.7065111715","6.11997734616378","0",15,"0.65463339765797","41.4562546404148","39.1939621188082","3.42407299425917","93.638055526133","77.2151026681099","15369.9342621764","0.505611811019448","0.603585569001936"
"COLINA DE SAO FRANCISCO","0.98977239384667","1.97025171624714","0.759009275903473","RIO PEQUENO","10.5765414309939","151.428631855001","0.324184455086421","2.92873563218391","0.512847502686458","4.6189962565827","0.723304358860478","146.987289300594","100.458938730622","0.539678060795282","0.240509434432578","8.53160755451219","1.36835649176237","0.0711586901763224","0.185840707964602",695,475,7,26,"90.1000359537254","55.4110356787852","0.991279752124313","90.1000359537254","0.0254007911721841",262,1,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"47723","BUTANTA","Urbano","0.1","0.02","0.02","0","0.03","0.69","0.36","0.17","0.12","0.66","0.81","0.3",101,"9411.997","28.1221326321331","1309366.49535212","1308.25377100706","5.32939815161557","0",67,"-0.063329241264538","18.0135807845512","33.4397781759","8.03878203034079","77.3743005528072","13.1317842144452","4966.15331502216","0.152360934448431","0.765478906459798"
"DA CIENCIA","0.992184412818731","2.91787439613527","0.844919520535609","CIDADE TIRADENTES","11.7085247848779","538.514426324423","0.323858181870978","9.11717791411043","0.535415097546883","2.53546270385024","3.20672102672971","507.333783653382","486.285342082409","0.378468096383729","0.273798320579294","13.5771494740905","9.50195406735501","0.110748384500145","0.153432721223367",8412,8063,194,225,"76.9208964585545","83.4097269130561","0.993003557026107","76.9208964585545","0.0113419108148607",1383,1,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"171228","CIDADE TIRADENTES","Urbano","0.08","0.04","0.22","0.08","0.01","1.03","0.2","0.12","0","0.32","0.88","0.35",43,"65132.56","10.3580176599586","1625615.77610247","7813.21751183085","4.10765095846685","0",25,"-0.562307221553176","2.52161174056701","12.5253552993115","18.48125966111","69.6606331729164","0","1783.38353365063","-0.163119557231754","0.685735826704918"
"DA CONSCIENCIA NEGRA","0.991513452977889","2.66037735849057","0.650098006220832","CIDADE TIRADENTES","11.3780662115228","1127.13751975859","0.311036728401822","14.1062874251497","0.53666858179959","23.8557982468746","3.58259088949562","710.770225607127","1073.69952579394","0.456712532254038","0.271261627481841","33.0201896824256","17.6569909469751","0.0642943074315087","0.188222034375881",7914,11955,138,506,"49.2357019686737","469.805288116109","0.31212911573061","49.3228193705992","0.0229776806532135",5231,21,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"118495","CIDADE TIRADENTES","Linear","0.14","0.06","0.07","0.05","0.05","0.51","0.34","0.21","0.61","1.17","0.58","0.51",36,"22235.88","19.6460974416755","1858948.12060186","3574.59730601124","3.17914211013804","0",25,"-0.562307221553176","2.52161174056701","12.5253552993115","18.48125966111","69.6606331729164","0","1783.38353365063","-0.163119557231754","0.384420823992324"
"DAS NEBULOSAS","0.989820765638098","1.91071428571429","0.67554118472956","SAO MATEUS","10.5350063612256","1340.11476264997","0.32812636100574","11.1122448979592","0.5474373528914","35.7198748043819","11.2154407929056","1340.11476264997","1340.11476264997","0.457885870917913","0.301163345959055","68.5393844548774","31.4606155451226","0.114975420060166","0.135793172690763",5138,5138,48,231,"0","0",NA,"0",NA,0,0,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"50104","SAO MATEUS","Urbano","0.11","0.14","0.04","0.08","0.04","0.93","0.31","0.2","0.2","0.71","0.85","0.58",99,"73925.38","6.79445087197249","200711.475983503","25909.3535684422","6.6643725333643","0",73,"-0.36561836565372","5.73435158689004","24.8440595513466","11.7021915842885","70.7433464985509","0.565854378230847","2684.27709300146","-0.052909154884619","0.457885870917913"
"DO CARMO - OLAVO EGIDIO SETUBAL","0.998829393499189","1.23570547099959","0.306090268354559","PARQUE DO CARMO","13.9016305361971","1027.26629822677","0.312307379811025","37.5843425605536","0.519809569070912","17.3777656378039","8.41330125386806","908.390177098105","963.281983738255","0.481877952427854","0.230363503983508","31.1129154770947","29.7989545486861","0.0780077859631034","0.0916914741492826",121385,128720,1669,3575,"15.5954844286126","161.839156155403","0.43194338128475","37.8507257168301","0.0121764214982146",21626,48,"0.259005511631301","0.596139238848582","6.68280617991192","14.3384732818715","0.942726577026012","0.801091366596824","0.410921486381818","0.826482771007248","0.0331394812148066","0.0395849522329387",893,1916,2,6,"1476631","ITAQUERA","Urbano","0.08","0.07","0.12","0.06","0.04","0.73","0.24","0.2","0.3","0.74","0.75","0.34",33,"210791.422","13.4204865820613","12617236.9089085","44946.9349767519","4.41305532336865","67548805",57,"-0.444324052910387","6.39998020797694","21.8324095047015","13.7341117638152","63.3254191135488","0.346401385164817","2392.66852506405","-0.088299890013834","0.456910666856302"
"DO CASTELO","0.993703654420748","1.61979166666667","0.703000944576591","CIDADE DUTRA","11.0897534870645","665.982404692082","0.282543140014048","7.03059273422562","0.52519914212173","42.7287390029326","25.4853372434018","619.50146627566","654.25219941349","0.574899138147583","0.215798148412106","60.7434017595308","28.1935483870968","0.042247978822351","0.0658756351825659",4225,4462,36,168,"0","0",NA,"0",NA,0,0,"11.0630498533724","0","58.2111436950147","0","0.970885796333112",NA,"11.0630498533724","0","0.0141458836149102",NA,397,0,1,0,"82681","CAPELA DO SOCORRO","Linear","0.01","0","0","0.02","0.02","0.27","0.1","0.21","0.09","0.41","0.56","0",161,"73840.197","11.7846026780143","493680.575387374","2095.43132044375","4.38070288415441","0",23,"-0.321666531996267","8.48566653330858","23.874193766652","11.4157653428733","72.9966771436227","3.45163515443289","3028.89837331301","-0.019638674519579","0.574899138147583"
"DO CORDEIRO - MARTIN LUTHER KING","0.987044013324067","2.11859838274933","0.548218733275424","SANTO AMARO","10.3056127267334","931.486012829839","0.280693857200817","9.00431034482759","0.51742052627607","61.2856292573243","3.22068646253555","931.486012829839","931.486012829839","0.514228147090834","0.237245617221279","86.8361880827988","13.1638119172012","0.222840409956076","0.23063178047224",2817,2817,32,172,"0","0",NA,"0",NA,0,0,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"20883","SANTO AMARO","Urbano","0.14","0.14","0.35","0.08","0.07","1.72","0.39","0.32","0.37","1.09","0.94","0.66",89,"191885.349","10.8861337719185","297466.326851115","2364.30557540059","4.13182985297825","0",71,"0.590886050957288","41.7328169369067","39.3685908196938","0.627311805731473","95.6885364424576","55.926599971254","12509.4645099667","0.539499289218466","0.514228147090834"
"DOS EUCALIPTOS","0.986787038144207","1.58687258687259","0.554957039724929","CAMPO LIMPO","9.70553551290538","161.339421613394","0.190509150916244","2.44552529182879","0.510713672793018","99.0380517503805","0.389649923896499","161.339421613394","161.339421613394","0.980031146902727","0.165836588541667","99.0380517503805","0.961948249619483","0.521212121212121","0.46551724137931",265,265,1,32,"0","0",NA,"0",NA,0,0,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"16730","CAMPO LIMPO","Urbano","0.06","0.05","0.2","0.06","0.06","1.29","0.36","0.2","0.12","0.69","0.6","0.33",41,"19314.349","27.3677195262966","451081.595162302","582.413020968437","3.86231054031228","0",17,"-0.362242174539349","8.02434181936222","24.4591800767095","12.6893070246392","68.8148285824182","3.09312828261178","2987.93450431818","-0.056558375899464","0.980031146902727"
"ECOLOGICO DO GUARAPIRANGA","0.997599404648629","3.32933375434165","0.866197063438147","JARDIM ANGELA","14.4217816811788","179.104956816483","0.340227343596322","13.79096140826","0.553631602297188","1.51025350536411","0.327167317209652","146.108438100567","118.748939332089","0.429601599912153","0.276139431282779","6.63517151860125","2.42933085041486","0.0720189352065234","0.155230446861163",31855,25890,578,1110,"49.3701123275985","44.0137049760805","0.917573298147671","68.1965664173046","0.00493594182204348",9596,6,"15.6990776202511","0","49.3388312242286","0","0.825536034207638",NA,"22.7389312136793","0","0.0112714407345424",NA,10757,0,33,0,"3300000","M BOI MIRIM","Urbano","0.12","0.14","0.17","0.07","0.07","1.32","0.26","0.28","0.37","0.91","0.89","0.64",10,"89526.012","8.41061510927201","14275801.7114522","52365.8853058815","4.66972606644589","23629173",43,"-0.668929580125923","2.34948225657424","11.201986463817","21.0001268549488","54.208665647611","0.150363606191417","1771.99892519733","-0.200588544864371","0.673587449029912"
"ECOLOGICO PROFESSORA LYDIA NATALIZIO DIOGO","0.992286662761179","1.83950617283951","0.754258678624731","VILA PRUDENTE","11.0774975060868","1412.74785383271","0.36176496618514","14.8929961089494","0.544096017689679","64.763351819494","4.14495175871762","1412.74785383271","1412.74785383271","0.524062113528891","0.310189487874735","75.7213401200334","24.2786598799666","0.157247962870177","0.177921463491563",9298,9298,109,343,"0","0",NA,"0",NA,0,0,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"80253","VILA PRUDENTE","Urbano","0.09","0.1","0.09","0.04","0.03","0.79","0.25","0.18","0.31","0.75","0.86","0.3",156,"64126.959","12.2785915125068","629311.581142634","8246.17327485979","4.16023482684014","0",93,"0.023620877684968","16.1764195469895","39.2577709512414","3.81035199396572","83.458442215637","9.83354665651938","5041.85393571774","0.183385189032872","0.524062113528891"
"ERMELINO MATARAZZO (DOM PAULO EVARISTO ARNS)","0.979035450782797","1.36666666666667","0.433309333500335","ERMELINO MATARAZZO","8.34941128540376","809.356725146199","0.325706349827161","5.10687022900763","0.531048058960658","43.906432748538","5.16959064327485","809.356725146199","809.356725146199","0.592178004709218","0.228807566233685","87.2046783625731","12.7953216374269","0.288223812621991","0.218720152817574",346,346,8,22,"0","0",NA,"0",NA,0,0,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"5556","ERMELINO MATARAZZO","Urbano","0.1","0.07","0.01","0.02","0.02","0.6","0.3","0.21","0.12","0.63","0.67","0.58",110,"110111.357","10.9938428308076","46020.2260897607","6828.4748191461","5.03448268161256","0",28,"-0.349387414498952","6.70222044641001","26.2579024993249","10.5089246720083","66.6701194723692","0.237810613240979","2807.59642037274","-0.020885153769035","0.592178004709218"
"GUABIROBEIRA","0.996907377466165","1.42718446601942","0.49964764869745","IGUATEMI","12.1046358433499","894.960529431359","0.264778542276027","13.7177177177177","0.537567186815706","4.2885866446204","2.28275134143747","627.555955099469","789.250841784624","0.335497619912197","0.235194839667854","14.6705301136158","13.2903645258515","0.110302913635926","0.166104937147021",15637,19666,298,740,"71.977300911415","373.114261978625","0.40105434135419","72.0391053605326","0.0299085200295187",9297,6,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"264720","SAO MATEUS","Urbano","0","0.01","0.01","0.08","0.03","0.68","0.32","0.15","0.12","0.6","0.73","0.24",75,"1476997.686","10.496365726188","2345906.25070585","16087.2648123205","3.87303629679062","0",33,"-0.582792385656508","2.32305014498675","15.6388328593049","18.1895294289276","58.138961857725","0","2026.74103223555","-0.144435296348216","0.368275980633194"
"GUANHEMBU","0.990718699326611","2.11742424242424","0.546809558807765","CIDADE DUTRA","10.8851758518566","1167.67238207374","0.372884364166041","12.634903640257","0.537614787927216","46.5505188019722","7.41040547501656","1167.67238207374","1167.67238207374","0.501255145517084","0.309910018597605","72.7261019942601","27.2738980057399","0.118923095209794","0.150649527307352",6347,6347,104,212,"0","0",NA,"0",NA,0,0,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"28397","CAPELA DO SOCORRO","Urbano","0.12","0.07","0.13","0.08","0.03","1.11","0.27","0.22","0.15","0.65","0.73","0.6",157,"34394.604","11.4089992984812","471294.352020959","2581.16701930761","4.04888944205116","0",23,"-0.321666531996267","8.48566653330858","23.874193766652","11.4157653428733","72.9966771436227","3.45163515443289","3028.89837331301","-0.019638674519579","0.501255145517084"
